file,genus,mag,area_um2,equiv_diameter_um,perimeter_um,circularity,solidity
Pink_10X_1.TIF,Aspergillus,10,57.0,8.5191,26.0,1.0596,1.2527
Pink_10X_1.TIF,Aspergillus,10,131.0,12.9149,54.0,0.5645,0.9003
Pink_10X_1.TIF,Aspergillus,10,76.0,9.837,26.0,1.4128,1.216
Pink_10X_1.TIF,Aspergillus,10,152.0,13.9116,68.0,0.4131,1.0857
Pink_10X_1.TIF,Aspergillus,10,73.0,9.6409,48.0,0.3982,1.0896
Pink_10X_1.TIF,Aspergillus,10,687.0,29.5756,205.0,0.2054,0.5928
Pink_10X_1.TIF,Aspergillus,10,272.0,18.6097,98.0,0.3559,0.6983
Pink_10X_1.TIF,Aspergillus,10,140.0,13.3512,42.0,0.9973,1.0811
Pink_10X_1.TIF,Aspergillus,10,102.0,11.3961,52.0,0.474,1.2439
Pink_10X_1.TIF,Aspergillus,10,538.0,26.1726,84.0,0.9582,1.0297
Pink_10X_1.TIF,Aspergillus,10,141.0,13.3988,37.0,1.2943,1.1325
Pink_10X_1.TIF,Aspergillus,10,108.0,11.7265,40.0,0.8482,1.0693
Pink_10X_1.TIF,Aspergillus,10,103.0,11.4518,39.0,0.851,1.0899
Pink_10X_1.TIF,Aspergillus,10,107.0,11.672,32.0,1.3131,1.1758
Pink_10X_1.TIF,Aspergillus,10,108.0,11.7265,41.0,0.8074,0.9432
Pink_10X_1.TIF,Aspergillus,10,66.0,9.167,24.0,1.4399,1.2222
Pink_10X_1.TIF,Aspergillus,10,498.0,25.1808,90.0,0.7726,0.954
Pink_10X_1.TIF,Aspergillus,10,144.0,13.5406,46.0,0.8552,1.0177
Pink_10X_1.TIF,Aspergillus,10,62.0,8.8849,25.0,1.2466,1.2157
Pink_10X_1.TIF,Aspergillus,10,69989.0,298.5176,2399.0,0.1528,0.5558
Pink_10X_1.TIF,Aspergillus,10,550.0,26.4628,104.0,0.639,0.9009
Pink_10X_1.TIF,Aspergillus,10,190.0,15.5536,58.0,0.7098,1.0
Pink_10X_1.TIF,Aspergillus,10,150.0,13.8198,47.0,0.8533,1.0676
Pink_10X_1.TIF,Aspergillus,10,143.0,13.4935,57.0,0.5531,0.9051
Pink_10X_1.TIF,Aspergillus,10,118.0,12.2573,46.0,0.7008,0.8613
Pink_10X_1.TIF,Aspergillus,10,208.0,16.2737,64.0,0.6381,0.8685
Pink_10X_1.TIF,Aspergillus,10,336.0,20.6835,75.0,0.7506,0.9641
Pink_10X_1.TIF,Aspergillus,10,254.0,17.9834,61.0,0.8578,1.0283
Pink_10X_1.TIF,Aspergillus,10,317.0,20.0902,63.0,1.0037,1.0567
Pink_10X_1.TIF,Aspergillus,10,91.0,10.7641,36.0,0.8824,1.2639
Pink_10X_1.TIF,Aspergillus,10,1996.0,50.4122,185.0,0.7329,0.8663
Pink_10X_1.TIF,Aspergillus,10,192.0,15.6353,54.0,0.8274,1.0492
Pink_10X_1.TIF,Aspergillus,10,97.0,11.1132,35.0,0.9951,1.0659
Pink_10X_1.TIF,Aspergillus,10,79.0,10.0293,30.0,1.103,1.1704
Pink_10X_1.TIF,Aspergillus,10,146.0,13.6343,38.0,1.2706,1.1019
Pink_10X_1.TIF,Aspergillus,10,73.0,9.6409,29.0,1.0908,1.1967
Pink_10X_1.TIF,Aspergillus,10,1389.0,42.0539,128.0,1.0653,0.9673
Pink_10X_1.TIF,Aspergillus,10,54.0,8.2919,25.0,1.0857,1.2135
Pink_10X_1.TIF,Aspergillus,10,523.0,25.8051,117.0,0.4801,0.8275
Pink_10X_1.TIF,Aspergillus,10,1091.0,37.2707,119.0,0.9681,1.0172
Pink_10X_1.TIF,Aspergillus,10,82.0,10.2179,34.0,0.8914,1.2239
Pink_10X_1.TIF,Aspergillus,10,249.0,17.8055,90.0,0.3863,0.8204
Pink_10X_1.TIF,Aspergillus,10,748.0,30.8607,92.0,1.1105,1.0115
Pink_10X_1.TIF,Aspergillus,10,100.0,11.2838,30.0,1.3963,1.1765
Pink_10X_1.TIF,Aspergillus,10,287.0,19.116,90.0,0.4453,0.7643
Pink_10X_1.TIF,Aspergillus,10,97.0,11.1132,46.0,0.5761,0.8435
Pink_10X_1.TIF,Aspergillus,10,57.0,8.5191,28.0,0.9136,1.1633
Pink_10X_1.TIF,Aspergillus,10,572.0,26.9869,81.0,1.0956,0.9744
Pink_10X_1.TIF,Aspergillus,10,414.0,22.9591,84.0,0.7373,0.8856
Pink_10X_1.TIF,Aspergillus,10,138.0,13.2555,61.0,0.466,0.75
Pink_10X_1.TIF,Aspergillus,10,414.0,22.9591,87.0,0.6873,1.0197
Pink_10X_1.TIF,Aspergillus,10,64.0,9.027,25.0,1.2868,1.2549
Pink_10X_1.TIF,Aspergillus,10,129.0,12.8159,48.0,0.7036,1.0979
Pink_10X_1.TIF,Aspergillus,10,137.0,13.2073,64.0,0.4203,0.8954
Pink_10X_1.TIF,Aspergillus,10,129.0,12.8159,35.0,1.3233,1.1366
Pink_10X_1.TIF,Aspergillus,10,142.0,13.4462,58.0,0.5304,0.9103
Pink_10X_1.TIF,Aspergillus,10,50.0,7.9788,25.0,1.0053,1.2195
Pink_10X_1.TIF,Aspergillus,10,722.0,30.3196,188.0,0.2567,0.637
Pink_10X_1.TIF,Aspergillus,10,62.0,8.8849,33.0,0.7154,1.0598
Pink_10X_1.TIF,Aspergillus,10,1640.0,45.6959,130.0,1.2195,1.0167
Pink_10X_1.TIF,Aspergillus,10,144.0,13.5406,48.0,0.7854,0.9
Pink_10X_1.TIF,Aspergillus,10,295.0,19.3805,76.0,0.6418,1.0315
Pink_10X_1.TIF,Aspergillus,10,77.0,9.9015,32.0,0.9449,1.1241
Pink_10X_1.TIF,Aspergillus,10,123.0,12.5143,34.0,1.3371,1.1284
Pink_10X_1.TIF,Aspergillus,10,52.0,8.1369,28.0,0.8335,1.1064
Pink_10X_1.TIF,Aspergillus,10,120.0,12.3608,43.0,0.8156,1.2183
Pink_10X_1.TIF,Aspergillus,10,91.0,10.7641,37.0,0.8353,1.1166
Pink_10X_1.TIF,Aspergillus,10,254.0,17.9834,67.0,0.711,0.998
Pink_10X_1.TIF,Aspergillus,10,114.0,12.0478,39.0,0.9419,1.1813
Pink_10X_1.TIF,Aspergillus,10,87.0,10.5248,30.0,1.2147,1.1837
Pink_10X_1.TIF,Aspergillus,10,73.0,9.6409,40.0,0.5733,1.1231
Pink_10X_1.TIF,Aspergillus,10,57.0,8.5191,25.0,1.1461,1.2128
Pink_10X_1.TIF,Aspergillus,10,54.0,8.2919,27.0,0.9308,1.3671
Pink_10X_1.TIF,Aspergillus,10,86.0,10.4642,41.0,0.6429,0.9451
Pink_10X_1.TIF,Aspergillus,10,134.0,13.0619,54.0,0.5775,0.8454
Pink_10X_1.TIF,Aspergillus,10,91.0,10.7641,37.0,0.8353,1.046
Pink_10X_1.TIF,Aspergillus,10,510.0,25.4824,91.0,0.7739,0.9248
Pink_10X_1.TIF,Aspergillus,10,218.0,16.6603,97.0,0.2912,0.5775
Pink_10X_1.TIF,Aspergillus,10,446.0,23.8299,146.0,0.2629,0.4487
Pink_10X_1.TIF,Aspergillus,10,57.0,8.5191,25.0,1.1461,1.2527
Pink_10X_1.TIF,Aspergillus,10,63.0,8.9562,36.0,0.6109,1.0413
Pink_10X_2.TIF,Aspergillus,10,783697.0,998.9164,12790.0,0.0602,0.6109
Pink_10X_2.TIF,Aspergillus,10,147.0,13.6809,71.0,0.3664,0.5621
