r_prime_um,beta,A,beta_se,r2,n_frames,epsilon_final,trial_id
900,1.054216240539191,3.6842220332711078,0.05441489707481594,0.9791307474284374,10,0.13196330200414164,0.5to1.2
1200,0.8541669120191533,6.314992770928799,0.05535663172530683,0.9635764305786618,11,0.11843403175441293,0.5to1.2
1500,0.9896482328177055,4.60485697316959,0.06550887229137155,0.9620611866515336,11,0.0830432074140908,0.5to1.2
1800,1.2818993501759743,2.1939482191845916,0.08051393880779822,0.9657133513686406,11,0.08378796096623489,0.5to1.2
2100,1.1815944677056565,2.8828815290670646,0.048444429332756195,0.985097047482956,11,0.07353008942815525,0.5to1.2
2400,0.9304057377199323,5.356117397423188,0.08062184861833499,0.9433347801486617,10,0.062434289456973005,0.5to1.2
2700,1.061927089532516,3.965435945139532,0.07525801980993904,0.956752758922354,11,0.062756569254036,0.5to1.2
3000,0.7795484025781799,7.546840978646098,0.05267378672900502,0.9605309404468185,11,0.05034064887366468,0.5to1.2
3300,0.18871873734704633,32.53753615489656,0.12461081766100832,0.2765509953597339,8,0.008328727142266418,0.5to1.2
0,0.8892081064597862,2.184809914586779,0.06278013422097252,0.9570640415519018,11,0.1251216577888201,0.5to1.3
300,0.9758566657083054,2.3418823053895808,0.052306436207951175,0.9747945871682651,11,0.21372682786675723,0.5to1.3
600,0.9784356544730259,2.799107646138974,0.047073245202109114,0.9795933334169804,11,0.16094346350207045,0.5to1.3
900,0.7345786737181912,5.936413557707039,0.04230702224020054,0.9710121853681056,11,0.1407812929835627,0.5to1.3
1200,0.8319488801317101,4.672080440383437,0.06512288100480829,0.9588724527788963,9,0.10612225498276082,0.5to1.3
1500,0.7594353891905108,5.928077965931497,0.01921647940900494,0.9942705481746232,11,0.08925313688535304,0.5to1.3
1800,1.0042605984668411,3.4362416654477568,0.05249333806206292,0.9760001823601816,11,0.08721029085367134,0.5to1.3
2100,0.8719034300493614,5.016134124147166,0.05580283914944094,0.9644453859986728,11,0.0654868225410898,0.5to1.3
2400,1.0858828567465604,2.9487556318010966,0.06454921790638264,0.9691779135947285,11,0.07079982974525788,0.5to1.3
2700,0.992698620955432,3.70796834790549,0.03964626068781633,0.985847862610712,11,0.05680272249523489,0.5to1.3
3000,0.9680820134053543,3.973880618518533,0.06710470220107646,0.9585486871098666,11,0.05062750993583501,0.5to1.3
3300,1.1841598988810313,2.200267787521806,0.11336946801646548,0.9237940003051553,11,0.02111952427002346,0.5to1.3
0,1.3566467783367053,0.5968800512997121,0.08542357179608721,0.9655461756838427,11,0.16838273363495732,0.5to1.4
300,1.2192565628697445,1.3356450813018035,0.09867695221853276,0.9443316552615941,11,0.2767556654524146,0.5to1.4
600,0.6244431250189835,7.822078900003482,0.04528972963330976,0.9547970024158792,11,0.2191723816415681,0.5to1.4
