sample,cx_svg,cy_svg,rx_svg,ry_svg,r_eq_svg,rx_mm,ry_mm,r_eq_mm,area_mm2,dist_svg,dist_mm,aspect,mm_per_svg,dist_norm,zone
RSR1,193.6076,-13.0465,4.2433,4.3066,4.2748,0.06668,0.06767,0.06717,0.0141755,163.5437,2.56986,0.9853,0.0157136,0.5951891275951197,Mid
RSR1,188.6043,2.09,4.4333,4.3699,4.4015,0.06966,0.06867,0.06916,0.015028,157.2101,2.47034,1.0145,0.0157136,0.5721399257015277,Mid
RSR1,169.5412,-12.1598,5.0033,4.8133,4.9074,0.07862,0.07563,0.07711,0.0186808,180.9227,2.84295,1.0395,0.0157136,0.6584377866095996,Far
RSR1,172.7079,41.6095,3.99,3.7366,3.8612,0.0627,0.05872,0.06067,0.0115651,142.7895,2.24374,1.0678,0.0157136,0.5196585234799849,Mid
RSR1,171.5679,27.3597,5.7633,5.4466,5.6027,0.09056,0.08559,0.08804,0.0243498,153.12,2.40607,1.0581,0.0157136,0.5572547548243055,Mid
RSR1,234.4571,13.5532,4.0533,4.1799,4.1161,0.06369,0.06568,0.06468,0.0131425,115.349,1.81255,0.9697,0.0157136,0.41979331684314874,Mid
RSR1,277.3332,38.6329,2.09,1.9,1.9927,0.03284,0.02986,0.03131,0.0030803,66.6523,1.04735,1.1,0.0157136,0.24257015276581162,Mid
RSR1,263.8434,39.0762,2.28,2.2166,2.2481,0.03583,0.03483,0.03533,0.0039204,76.4294,1.20098,1.0286,0.0157136,0.2781514317741771,Mid
RSR1,257.7635,85.5623,1.7733,2.09,1.9251,0.02787,0.03284,0.03025,0.0028749,50.0449,0.78639,0.8485,0.0157136,0.18213084683583006,Near
RSR1,275.8132,59.9126,4.3699,3.5466,3.9368,0.06867,0.05573,0.06186,0.0120224,53.6312,0.84274,1.2321,0.0157136,0.19518171627618283,Near
RSR1,287.0231,63.5225,4.3066,3.7366,4.0115,0.06767,0.05872,0.06304,0.0124829,42.8601,0.67349,1.1525,0.0157136,0.1559827872117692,Near
RSR1,98.6721,-28.8163,5.6999,5.8899,5.7941,0.08957,0.09255,0.09105,0.0260424,244.9167,3.84852,0.9677,0.0157136,0.8913315360884912,Far
RSR1,112.5419,-19.8231,8.6766,8.6766,8.6766,0.13634,0.13634,0.13634,0.0583978,228.5784,3.59179,1.0,0.0157136,0.8318719138804741,Far
RSR1,114.1886,-34.9596,6.5233,5.9533,6.2317,0.1025,0.09355,0.09792,0.0301245,237.4182,3.73069,1.0957,0.0157136,0.8640416701407225,Far
RSR1,86.5123,-13.4265,7.2199,4.8133,5.895,0.11345,0.07563,0.09263,0.0269571,243.758,3.83032,1.5,0.0157136,0.8871163484431599,Far
RSR1,80.6857,-22.9264,4.4333,3.9266,4.1723,0.06966,0.0617,0.06556,0.0135035,254.428,3.99798,1.129,0.0157136,0.925947027597899,Far
RSR1,88.1589,-27.7397,4.1799,4.1799,4.1799,0.06568,0.06568,0.06568,0.0135532,252.0501,3.96061,1.0,0.0157136,0.9172919967019632,Far
RSR1,69.0958,-8.9932,6.3966,5.9533,6.1709,0.10051,0.09355,0.09697,0.0295396,253.8127,3.98831,1.0745,0.0157136,0.9237074196566707,Far
RSR1,108.4253,7.4732,4.3066,4.1799,4.2428,0.06767,0.06568,0.06667,0.0139639,213.4937,3.35476,1.0303,0.0157136,0.7769748848929529,Far
RSR1,139.3949,-18.9998,6.1433,5.6999,5.9174,0.09653,0.08957,0.09298,0.0271625,207.9812,3.26813,1.0778,0.0157136,0.7569110549086093,Far
RSR1,127.9055,-20.7532,4.1274,4.2975,4.2116,0.06486,0.06753,0.06618,0.0137594,217.7261,3.42126,0.9604,0.0157136,0.7923765320585866,Far
RSR1,126.818,-36.2895,4.3699,4.6233,4.4948,0.06867,0.07265,0.07063,0.0156721,228.8734,3.59642,0.9452,0.0157136,0.832944239089149,Far
RSR1,168.5279,-31.6029,7.0299,7.1566,7.093,0.11047,0.11246,0.11146,0.0390262,194.6135,3.05808,0.9823,0.0157136,0.7082626941997165,Far
RSR1,180.7511,-35.4029,3.9266,3.99,3.9582,0.0617,0.0627,0.0622,0.0121531,188.015,2.95439,0.9841,0.0157136,0.6842477048071668,Far
RSR1,126.1584,18.7464,3.6733,4.3066,3.9774,0.05772,0.06767,0.0625,0.0122713,192.7543,3.02886,0.8529,0.0157136,0.7014952335955088,Far
RSR1,121.0285,28.0563,4.2433,3.99,4.1147,0.06668,0.0627,0.06466,0.0131332,190.3913,2.99173,1.0635,0.0157136,0.6928957875915993,Far
RSR1,116.8302,18.0906,3.9266,3.42,3.6645,0.0617,0.05374,0.05758,0.0104169,200.1553,3.14516,1.1481,0.0157136,0.7284307458566096,Far
RSR1,120.3952,10.7032,5.2566,4.2433,4.7228,0.0826,0.06668,0.07421,0.0173025,202.4079,3.18056,1.2388,0.0157136,0.7366295174304958,Far
RSR1,128.3751,-0.6967,4.4966,3.99,4.2357,0.07066,0.0627,0.06656,0.0139173,204.0333,3.2061,1.127,0.0157136,0.7425446763569663,Far
RSR1,151.8714,-13.4265,4.1799,3.9266,4.0513,0.06568,0.0617,0.06366,0.0127318,194.9583,3.0635,1.0645,0.0157136,0.7095179863446449,Far
RSR1,153.0114,-3.7366,3.5466,3.3566,3.4503,0.05573,0.05274,0.05422,0.0092346,187.6611,2.94883,1.0566,0.0157136,0.6829599881418897,Far
RSR1,169.4145,7.3466,3.7366,3.8,3.7682,0.05872,0.05971,0.05921,0.0110143,168.0411,2.64053,0.9833,0.0157136,0.6115565622597112,Far
RSR1,139.5216,44.6494,6.1433,3.99,4.9509,0.09653,0.0627,0.0778,0.0190137,165.5453,2.60131,1.5397,0.0157136,0.602473064487739,Far
RSR1,125.7784,37.0495,4.1799,3.7366,3.9521,0.06568,0.05872,0.0621,0.0121158,180.8622,2.842,1.1186,0.0157136,0.658217763078662,Far
RSR1,131.5417,32.0463,2.47,2.5333,2.5014,0.03881,0.03981,0.03931,0.0048538,179.8875,2.82668,0.975,0.0157136,0.6546695941376468,Far
RSR1,149.0215,30.8429,3.3566,3.23,3.2927,0.05274,0.05075,0.05174,0.0084101,167.6369,2.63418,1.0392,0.0157136,0.6100858786581808,Far
RSR1,132.4917,10.8299,4.9399,5.6366,5.2768,0.07762,0.08857,0.08292,0.0215993,193.2919,3.03731,0.8764,0.0157136,0.7034522850022699,Far
RSR1,93.7322,7.4099,4.6866,4.1166,4.3924,0.07364,0.06469,0.06902,0.0149658,224.5064,3.5278,1.1385,0.0157136,0.8170515920439492,Far
RSR1,93.9222,-4.6233,4.2433,4.2433,4.2433,0.06668,0.06668,0.06668,0.0139671,232.3693,3.65136,1.0,0.0157136,0.845668547288847,Far
RSR1,103.3587,-3.5466,3.5466,3.42,3.4827,0.05573,0.05374,0.05473,0.0094089,224.6074,3.52939,1.037,0.0157136,0.8174198419536237,Far
RSR1,113.3653,-1.2667,3.5466,3.2933,3.4176,0.05573,0.05175,0.0537,0.0090604,215.6194,3.38816,1.0769,0.0157136,0.7847104490332861,Far
RSR1,155.6714,55.7326,3.9266,4.4333,4.1723,0.0617,0.06966,0.06556,0.0135035,146.1144,2.29598,0.8857,0.0157136,0.5317575016443865,Mid
RSR1,146.5515,55.1626,3.5466,3.4833,3.5148,0.05573,0.05474,0.05523,0.0095831,153.3028,2.40894,1.0182,0.0157136,0.5579194574914539,Mid
RSR1,163.778,74.1624,4.9399,5.8899,5.3941,0.07762,0.09255,0.08476,0.0225701,127.8017,2.00822,0.8387,0.0157136,0.4651112161047961,Mid
